# L=128 N=128  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Tue Mar 24 21:11:35 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.055000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.060000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.065000  0.00002967  0.00002282  0.00699525  0.00537578  0.000000  0.0038  40404.3
0.070000  0.00004454  0.00001807  0.00903812  0.00364873  0.000000  0.0057  35238.2
0.075000  0.00023901  0.00004888  0.04223178  0.00845850  0.000001  0.0306  38066.7
0.080000  0.00062863  0.00009034  0.09797482  0.01413558  0.000003  0.0805  39982.0
0.085000  0.00099468  0.00008611  0.13027035  0.01018335  0.000004  0.1273  35478.1
0.090000  0.00191013  0.00014125  0.22447183  0.01444314  0.000008  0.2445  35834.9
0.095000  0.00347519  0.00016542  0.34561772  0.01272752  0.000017  0.4448  32613.6
0.100000  0.00538680  0.00017191  0.46250531  0.01176895  0.000029  0.6895  29980.2
0.102500  0.00638355  0.00020330  0.49940127  0.01263416  0.000036  0.8171  28935.7
0.105000  0.00790743  0.00017190  0.56073372  0.01120564  0.000048  1.0122  25650.6
0.107500  0.00944444  0.00018508  0.62086096  0.01191636  0.000061  1.2089  23345.5
0.110000  0.01134912  0.00018543  0.67589160  0.01172696  0.000080  1.4527  21318.1
0.112500  0.01309654  0.00017098  0.71503796  0.01188865  0.000100  1.6764  18820.2
0.115000  0.01475276  0.00016730  0.76783164  0.01281998  0.000121  1.8884  16813.5
0.117500  0.01709689  0.00017040  0.79012214  0.01285374  0.000152  2.1884  13995.9
0.120000  0.01910109  0.00013425  0.82023187  0.01130554  0.000182  2.4449  10509.9
0.122500  0.02135020  0.00013398  0.87048589  0.01197679  0.000219  2.7328  9974.6
0.125000  0.02328233  0.00014377  0.92741962  0.01517805  0.000255  2.9801  8799.2
0.127500  0.02544649  0.00011810  0.94828035  0.01145941  0.000297  3.2572  6870.9
0.130000  0.02826664  0.00011899  0.96697605  0.01018868  0.000356  3.6181  5402.7
0.132500  0.03049851  0.00011907  0.99812153  0.01031608  0.000408  3.9038  4711.8
0.135000  0.03308941  0.00011423  1.05057155  0.00960342  0.000474  4.2354  4235.9
0.137500  0.03535535  0.00010410  1.06722570  0.00910776  0.000535  4.5255  3651.2
0.140000  0.03850607  0.00010128  1.09808271  0.00917406  0.000624  4.9288  2871.1
