# L=8 N=32  Task3: canonical N=L^2/2 (half-filling)
# therm=1000000  nmeas=20000000  nbin=200  seed=20260318
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  4.68750000  0.00000000  0.00000000  0.00000000  0.005417  150.0000  0.5
0.075000  4.68750264  0.00000065  0.00046885  0.00011529  0.005227  150.0001  54.9
0.100000  4.68760334  0.00000423  0.01032457  0.00042109  0.004962  150.0033  60.5
0.125000  4.68828632  0.00001164  0.04996972  0.00072907  0.005188  150.0252  61.4
0.150000  4.69042377  0.00002233  0.12641233  0.00091850  0.006051  150.0936  59.5
0.175000  4.69481985  0.00003576  0.22474234  0.00094902  0.007873  150.2342  51.7
0.200000  4.70154503  0.00003916  0.31294828  0.00067981  0.010894  150.4494  42.1
0.225000  4.71031432  0.00004211  0.37676056  0.00054135  0.015342  150.7301  32.4
0.250000  4.72018271  0.00004805  0.41247224  0.00048311  0.020981  151.0458  23.9
0.275000  4.73063597  0.00003994  0.42718190  0.00046097  0.027758  151.3804  17.9
0.300000  4.74138140  0.00003981  0.43001200  0.00042385  0.035445  151.7242  13.6
0.325000  4.75207428  0.00003859  0.42684863  0.00039950  0.043963  152.0664  10.8
0.350000  4.76273071  0.00003268  0.42022483  0.00034065  0.053129  152.4074  8.9
0.375000  4.77312687  0.00003410  0.41171283  0.00031374  0.062769  152.7401  7.6
0.400000  4.78327187  0.00003121  0.40362103  0.00030292  0.072732  153.0647  6.7
0.425000  4.79328673  0.00002739  0.39514205  0.00026889  0.083093  153.3852  6.2
0.450000  4.80307777  0.00003030  0.38666936  0.00023919  0.093619  153.6985  5.8
0.475000  4.81265005  0.00002754  0.37856377  0.00022894  0.104318  154.0048  5.6
0.500000  4.82193637  0.00002613  0.37050514  0.00021289  0.115026  154.3020  5.4
0.550000  4.84009750  0.00002801  0.35521437  0.00019614  0.136704  154.8831  5.2
0.600000  4.85754993  0.00002589  0.34177071  0.00016499  0.158337  155.4416  5.1
0.700000  4.89040379  0.00002600  0.31581140  0.00014134  0.200454  156.4929  5.0
0.800000  4.92069779  0.00002515  0.29242098  0.00010901  0.240449  157.4623  5.0
0.900000  4.94887652  0.00002830  0.27134448  0.00010890  0.278051  158.3640  5.0
1.000000  4.97507542  0.00002879  0.25190956  0.00009585  0.313006  159.2024  5.0
1.500000  5.08150244  0.00003067  0.17930045  0.00005937  0.452448  162.6081  5.0
2.000000  5.15858750  0.00003383  0.13248569  0.00005094  0.548386  165.0748  5.0
3.000000  5.26139604  0.00003678  0.07956504  0.00002757  0.668245  168.3647  5.0
5.000000  5.37020063  0.00004118  0.03706612  0.00001337  0.785074  171.8464  5.0
10.000000  5.47258578  0.00004418  0.01128608  0.00000361  0.886538  175.1227  5.0
