# L=4 N=8  Task3: canonical N=L^2/2 (half-filling)
# therm=1000000  nmeas=20000000  nbin=200  seed=20260318
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  1.50000000  0.00000000  0.00000000  0.00000000  0.000000  12.0000  0.5
0.075000  1.50000243  0.00000057  0.00043221  0.00010046  0.000001  12.0000  10.9
0.100000  1.50004556  0.00000249  0.00455396  0.00024927  0.000026  12.0004  13.0
0.125000  1.50034353  0.00000710  0.02204878  0.00045387  0.000193  12.0027  12.8
0.150000  1.50131836  0.00001482  0.05942174  0.00065940  0.000752  12.0105  12.5
0.175000  1.50340384  0.00002293  0.11456709  0.00078286  0.001997  12.0272  12.2
0.200000  1.50723599  0.00003010  0.19080841  0.00083576  0.004397  12.0579  12.3
0.225000  1.51301440  0.00004504  0.27925537  0.00094110  0.008314  12.1041  12.0
0.250000  1.52122912  0.00005937  0.37820044  0.00106703  0.014338  12.1698  11.6
0.275000  1.53188673  0.00006413  0.47662410  0.00090821  0.022720  12.2551  11.1
0.300000  1.54493785  0.00007201  0.56579686  0.00084855  0.033673  12.3595  10.6
0.325000  1.56000615  0.00008621  0.63863321  0.00075809  0.047135  12.4800  10.0
0.350000  1.57678328  0.00008719  0.69284707  0.00058053  0.062901  12.6143  9.4
0.375000  1.59442673  0.00010996  0.72276477  0.00061992  0.080327  12.7554  8.8
0.400000  1.61268769  0.00009880  0.73304793  0.00044742  0.099111  12.9015  8.2
0.425000  1.63104046  0.00010711  0.72926130  0.00042306  0.118764  13.0483  7.7
0.450000  1.64894041  0.00009257  0.71314045  0.00038683  0.138726  13.1915  7.2
0.475000  1.66653279  0.00010391  0.69060409  0.00036611  0.158823  13.3323  6.7
0.500000  1.68347356  0.00009420  0.66365021  0.00033443  0.178853  13.4678  6.4
0.550000  1.71529491  0.00008670  0.60532990  0.00031161  0.217982  13.7224  5.8
0.600000  1.74407696  0.00007930  0.54875440  0.00025664  0.255083  13.9526  5.5
0.700000  1.79386961  0.00007312  0.45146192  0.00022319  0.322868  14.3510  5.2
0.800000  1.83512356  0.00006559  0.37550308  0.00015757  0.381979  14.6810  5.1
0.900000  1.86969916  0.00005825  0.31642212  0.00013071  0.433378  14.9576  5.0
1.000000  1.89883731  0.00005936  0.26940374  0.00010852  0.477952  15.1907  5.0
1.500000  1.99515817  0.00005484  0.13695836  0.00004880  0.630931  15.9613  5.0
2.000000  2.04781984  0.00005328  0.08100168  0.00002670  0.717353  16.3826  5.0
3.000000  2.10298053  0.00005068  0.03732719  0.00001250  0.808888  16.8238  5.0
5.000000  2.14802309  0.00004679  0.01365467  0.00000418  0.884592  17.1842  5.0
10.000000  2.18232372  0.00004739  0.00342995  0.00000102  0.942268  17.4586  5.0
