# N=100 M=100  Queen lattice gas, canonical ensemble M=N
# Merged from: precise 30 pts (T=0.050~10.000); dense 185 pts (T=1.100~20.000); high-T 7 pts (T=25.0~400.0); peak 96 pts (T=0.201~0.299)
# Total: 318 temperature points (T=0.050~400.0)
# nmeas=1e8 sweeps, therm=2e6, nbin=200
# T  E/M  err_E/M  Cv/M  err_Cv/M  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00015239  0.00003454  0.02732705  0.00622313  0.000001  0.0152  16453.7
0.100000  0.00454110  0.00016861  0.40347136  0.01172229  0.000028  0.4541  15239.1
0.125000  0.02194458  0.00014691  0.89893535  0.01075335  0.000255  2.1945  7230.3
0.150000  0.04867991  0.00008921  1.23635052  0.00742623  0.001031  4.8680  1819.2
0.175000  0.08195120  0.00006917  1.42287171  0.00503805  0.002801  8.1951  593.1
0.200000  0.11945996  0.00005661  1.55470079  0.00353538  0.006016  11.9460  256.6
0.201000  0.12100693  0.00005837  1.56627022  0.00332873  0.006184  12.1007  254.1
0.202000  0.12263278  0.00005329  1.56910768  0.00340439  0.006349  12.2633  241.9
0.203000  0.12421798  0.00005220  1.57474544  0.00351487  0.006529  12.4218  238.3
0.204000  0.12574385  0.00005219  1.58784994  0.00319855  0.006699  12.5744  233.5
0.205000  0.12727540  0.00005617  1.57631604  0.00319484  0.006867  12.7275  223.2
0.206000  0.12897126  0.00005534  1.58243688  0.00316221  0.007056  12.8971  216.4
0.207000  0.13051081  0.00005444  1.58347458  0.00333069  0.007234  13.0511  211.5
0.208000  0.13207820  0.00005318  1.58608983  0.00311028  0.007416  13.2078  206.6
0.209000  0.13366704  0.00005059  1.58910447  0.00308545  0.007605  13.3667  201.8
0.210000  0.13533548  0.00005228  1.59278419  0.00297243  0.007804  13.5335  194.5
0.211000  0.13686001  0.00005145  1.59284108  0.00306029  0.007991  13.6860  190.1
0.212000  0.13856159  0.00005193  1.59664072  0.00288527  0.008198  13.8562  185.8
0.213000  0.14007367  0.00005295  1.59525532  0.00277512  0.008388  14.0074  185.4
