# L=16 N=128  Task3: canonical N=L^2/2 (half-filling)
# therm=500000  nmeas=10000000  nbin=200  seed=20260318
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  11.16406250  0.00000000  0.00000000  0.00000000  0.000262  1429.0000  0.5
0.075000  11.15669250  0.00011557  0.07493117  0.01845957  0.000062  1428.0566  17066.8
0.100000  11.15681083  0.00008228  0.05412239  0.00752158  0.000050  1428.0718  7848.0
0.125000  11.16093386  0.00016535  0.22876148  0.00395366  0.000279  1428.5995  4777.3
0.150000  11.16785395  0.00011119  0.29514134  0.00396978  0.000943  1429.4853  1263.9
0.175000  11.17558626  0.00006206  0.30676181  0.00257955  0.002271  1430.4750  265.8
0.200000  11.18331359  0.00004483  0.31293227  0.00141392  0.004386  1431.4641  101.6
0.225000  11.19092148  0.00003299  0.31099718  0.00092680  0.007305  1432.4379  46.5
0.250000  11.19877519  0.00002872  0.30508345  0.00073850  0.011192  1433.4432  26.2
0.275000  11.20633394  0.00002361  0.29945586  0.00054624  0.015812  1434.4107  17.1
0.300000  11.21362366  0.00002071  0.29078509  0.00043921  0.021059  1435.3438  12.2
0.325000  11.22082271  0.00001893  0.28384899  0.00036220  0.026955  1436.2653  9.4
0.350000  11.22783594  0.00001866  0.27720044  0.00033364  0.033348  1437.1630  7.7
0.375000  11.23468288  0.00001702  0.27090311  0.00030530  0.040144  1438.0394  6.7
0.400000  11.24140756  0.00001615  0.26537543  0.00023928  0.047327  1438.9002  6.1
0.425000  11.24795853  0.00001696  0.26036642  0.00020972  0.054742  1439.7387  5.7
0.450000  11.25440275  0.00001564  0.25551093  0.00020861  0.062388  1440.5636  5.5
0.475000  11.26074390  0.00001549  0.25101190  0.00018884  0.070224  1441.3752  5.4
0.500000  11.26698049  0.00001330  0.24706908  0.00019031  0.078204  1442.1735  5.2
0.550000  11.27912822  0.00001477  0.24014575  0.00014246  0.094359  1443.7284  5.1
0.600000  11.29096318  0.00001412  0.23302949  0.00014914  0.110690  1445.2433  5.1
0.700000  11.31371112  0.00001324  0.22163825  0.00012969  0.143245  1448.1550  5.0
0.800000  11.33528608  0.00001445  0.21101071  0.00011093  0.174772  1450.9166  5.0
0.900000  11.35589841  0.00001457  0.20155812  0.00009817  0.204967  1453.5550  5.0
1.000000  11.37561428  0.00001584  0.19275164  0.00009766  0.233591  1456.0786  5.0
1.500000  11.46246156  0.00001872  0.15698049  0.00008037  0.353110  1467.1951  5.0
2.000000  11.53421283  0.00002285  0.13111496  0.00006446  0.441448  1476.3792  5.0
3.000000  11.64629222  0.00003116  0.09573999  0.00004699  0.561286  1490.7254  5.0
5.000000  11.79477045  0.00003468  0.05747069  0.00002743  0.692523  1509.7306  5.0
10.000000  11.97811378  0.00004408  0.02334623  0.00001128  0.823749  1533.1986  5.0
