# L=32 N=32  Task2 precise: canonical N=L
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00006324  0.00001477  0.01122058  0.00261506  0.000001  0.0020  5943.8
0.100000  0.00146627  0.00007614  0.14438213  0.00725730  0.000026  0.0469  5787.3
0.125000  0.01125641  0.00018317  0.65851297  0.00840235  0.000238  0.3602  4697.4
0.150000  0.03572374  0.00022380  1.22891637  0.00580046  0.001081  1.1432  2356.1
0.175000  0.07017697  0.00014643  1.47067289  0.00556065  0.003112  2.2457  807.7
0.200000  0.10862978  0.00010934  1.58370771  0.00410992  0.006763  3.4762  312.8
0.225000  0.14890313  0.00008400  1.62729973  0.00294044  0.012327  4.7649  147.2
0.250000  0.18948308  0.00006546  1.61581704  0.00212464  0.019878  6.0635  80.9
0.275000  0.22957588  0.00005912  1.57667763  0.00176733  0.029384  7.3464  49.8
0.300000  0.26811698  0.00004975  1.51510754  0.00117309  0.040544  8.5797  33.6
0.325000  0.30514528  0.00004634  1.43912630  0.00100393  0.053132  9.7646  23.9
0.350000  0.34016220  0.00004378  1.36157857  0.00072275  0.066781  10.8852  18.0
0.375000  0.37324598  0.00003654  1.28511427  0.00066572  0.081212  11.9439  14.3
0.400000  0.40452821  0.00003647  1.21098617  0.00059483  0.096197  12.9449  11.7
0.425000  0.43382917  0.00003493  1.14131745  0.00045219  0.111441  13.8825  9.9
0.450000  0.46156115  0.00002864  1.07679674  0.00041450  0.126876  14.7700  8.7
0.475000  0.48775094  0.00003226  1.01737710  0.00033686  0.142352  15.6080  7.8
0.500000  0.51243324  0.00002923  0.96236887  0.00032325  0.157689  16.3979  7.1
0.550000  0.55817910  0.00002596  0.86622116  0.00025496  0.187950  17.8617  6.2
0.600000  0.59933764  0.00002673  0.78452094  0.00021952  0.217094  19.1788  5.7
0.700000  0.67099445  0.00002433  0.65538265  0.00014269  0.271551  21.4718  5.3
0.800000  0.73146230  0.00002325  0.55850717  0.00012623  0.320560  23.4068  5.1
0.900000  0.78344272  0.00002279  0.48315763  0.00010013  0.364388  25.0702  5.0
1.000000  0.82863503  0.00001887  0.42331668  0.00007896  0.403464  26.5163  5.0
1.500000  0.99000570  0.00001834  0.24741787  0.00003879  0.546470  31.6802  5.0
2.000000  1.09068910  0.00001826  0.16424428  0.00002683  0.635428  34.9021  5.0
3.000000  1.21124110  0.00002098  0.08864270  0.00001326  0.738665  38.7597  5.0
5.000000  1.32782083  0.00001981  0.03839172  0.00000591  0.833334  42.4903  5.0
10.000000  1.43182190  0.00002324  0.01128858  0.00000167  0.912563  45.8183  5.0
