# L=64 N=64  Task2 precise: canonical N=L
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00014274  0.00003445  0.02514462  0.00601692  0.000001  0.0091  14389.9
0.100000  0.00328567  0.00014647  0.31568705  0.01207042  0.000030  0.2103  12751.8
0.125000  0.01835187  0.00019651  0.90124075  0.00740908  0.000251  1.1745  7497.4
0.150000  0.04524540  0.00013092  1.22996943  0.00820205  0.001051  2.8957  2127.8
0.175000  0.07909302  0.00009498  1.43540448  0.00558472  0.002909  5.0620  639.4
0.200000  0.11673393  0.00007281  1.56216877  0.00372897  0.006235  7.4710  267.1
0.225000  0.15666753  0.00005676  1.61897190  0.00278832  0.011387  10.0267  135.1
0.250000  0.19720353  0.00004876  1.61302633  0.00196389  0.018475  12.6210  77.3
0.275000  0.23728350  0.00004200  1.57790998  0.00154403  0.027449  15.1861  48.6
0.300000  0.27586178  0.00003839  1.51868495  0.00126959  0.038047  17.6552  33.1
0.325000  0.31289052  0.00003194  1.44428598  0.00100766  0.050050  20.0250  23.7
0.350000  0.34801891  0.00002933  1.36581639  0.00080163  0.063124  22.2732  18.0
0.375000  0.38125083  0.00002751  1.29129870  0.00067653  0.077013  24.4001  14.3
0.400000  0.41258744  0.00002619  1.21681769  0.00055645  0.091439  26.4056  11.7
0.425000  0.44210721  0.00002386  1.14760225  0.00045008  0.106216  28.2949  10.0
0.450000  0.46998121  0.00002201  1.08288792  0.00045010  0.121168  30.0788  8.7
0.475000  0.49626198  0.00002053  1.02371130  0.00038652  0.136162  31.7608  7.8
0.500000  0.52123661  0.00001890  0.96944293  0.00031874  0.151144  33.3591  7.2
0.550000  0.56722923  0.00001985  0.87332388  0.00028136  0.180600  36.3027  6.3
0.600000  0.60878788  0.00001713  0.79214784  0.00020945  0.209107  38.9624  5.8
0.700000  0.68132462  0.00001713  0.66381119  0.00015307  0.262645  43.6048  5.3
0.800000  0.74261274  0.00001697  0.56699224  0.00011556  0.310947  47.5272  5.1
0.900000  0.79544635  0.00001491  0.49203315  0.00008792  0.354326  50.9086  5.0
1.000000  0.84151479  0.00001461  0.43182976  0.00008300  0.393105  53.8569  5.0
1.500000  1.00706116  0.00001435  0.25499515  0.00004072  0.535991  64.4519  5.0
2.000000  1.11130388  0.00001492  0.17078363  0.00002726  0.625517  71.1234  5.0
3.000000  1.23739049  0.00001602  0.09337793  0.00001424  0.730173  79.1930  5.0
5.000000  1.36105135  0.00001771  0.04106969  0.00000616  0.826973  87.1073  5.0
10.000000  1.47327331  0.00001491  0.01230204  0.00000187  0.908712  94.2895  5.0
