# N=32 M=32  Queen lattice gas, canonical ensemble M=N
# Merged from: precise 30 pts (T=0.050~10.000); dense 185 pts (T=1.100~20.000); high-T 7 pts (T=25.0~400.0)
# Total: 222 temperature points (T=0.050~400.0)
# nmeas=1e8 sweeps, therm=2e6, nbin=200
# T  E/M  err_E/M  Cv/M  err_Cv/M  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00006324  0.00001477  0.01122058  0.00261506  0.000001  0.0020  5943.8
0.100000  0.00146627  0.00007614  0.14438213  0.00725730  0.000026  0.0469  5787.3
0.125000  0.01125641  0.00018317  0.65851297  0.00840235  0.000238  0.3602  4697.4
0.150000  0.03572374  0.00022380  1.22891637  0.00580046  0.001081  1.1432  2356.1
0.175000  0.07017697  0.00014643  1.47067289  0.00556065  0.003112  2.2457  807.7
0.200000  0.10862978  0.00010934  1.58370771  0.00410992  0.006763  3.4762  312.8
0.225000  0.14890313  0.00008400  1.62729973  0.00294044  0.012327  4.7649  147.2
0.250000  0.18948308  0.00006546  1.61581704  0.00212464  0.019878  6.0635  80.9
0.275000  0.22957588  0.00005912  1.57667763  0.00176733  0.029384  7.3464  49.8
0.300000  0.26811698  0.00004975  1.51510754  0.00117309  0.040544  8.5797  33.6
0.325000  0.30514528  0.00004634  1.43912630  0.00100393  0.053132  9.7646  23.9
0.350000  0.34016220  0.00004378  1.36157857  0.00072275  0.066781  10.8852  18.0
0.375000  0.37324598  0.00003654  1.28511427  0.00066572  0.081212  11.9439  14.3
0.400000  0.40452821  0.00003647  1.21098617  0.00059483  0.096197  12.9449  11.7
0.425000  0.43382917  0.00003493  1.14131745  0.00045219  0.111441  13.8825  9.9
0.450000  0.46156115  0.00002864  1.07679674  0.00041450  0.126876  14.7700  8.7
0.475000  0.48775094  0.00003226  1.01737710  0.00033686  0.142352  15.6080  7.8
0.500000  0.51243324  0.00002923  0.96236887  0.00032325  0.157689  16.3979  7.1
0.550000  0.55817910  0.00002596  0.86622116  0.00025496  0.187950  17.8617  6.2
0.600000  0.59933764  0.00002673  0.78452094  0.00021952  0.217094  19.1788  5.7
0.700000  0.67099445  0.00002433  0.65538265  0.00014269  0.271551  21.4718  5.3
0.800000  0.73146230  0.00002325  0.55850717  0.00012623  0.320560  23.4068  5.1
0.900000  0.78344272  0.00002279  0.48315763  0.00010013  0.364388  25.0702  5.0
1.000000  0.82863503  0.00001887  0.42331668  0.00007896  0.403464  26.5163  5.0
1.100000  0.86843379  0.00002025  0.37462204  0.00006329  0.438400  27.7899  5.0
1.200000  0.90384376  0.00002136  0.33428405  0.00006613  0.469726  28.9230  5.0
1.300000  0.93550989  0.00002126  0.30058746  0.00005446  0.497934  29.9363  5.0
1.400000  0.96408948  0.00002085  0.27184529  0.00004395  0.523406  30.8509  5.0
1.500000  0.99000570  0.00001834  0.24741787  0.00003879  0.546470  31.6802  5.0
1.600000  1.01365822  0.00001809  0.22605468  0.00003752  0.567504  32.4371  5.0
1.700000  1.03532536  0.00001948  0.20754926  0.00003079  0.586705  33.1304  5.0
1.800000  1.05529958  0.00001827  0.19131930  0.00003082  0.604322  33.7696  5.0
1.900000  1.07367430  0.00001940  0.17699349  0.00002986  0.620512  34.3576  5.0
2.000000  1.09068910  0.00001826  0.16424428  0.00002683  0.635428  34.9021  5.0
2.100000  1.10658278  0.00002022  0.15288741  0.00002485  0.649272  35.4106  5.0
2.200000  1.12135150  0.00001903  0.14266403  0.00002329  0.662058  35.8832  5.0
2.300000  1.13511895  0.00001900  0.13349912  0.00002233  0.673979  36.3238  5.0
2.400000  1.14807969  0.00002021  0.12519449  0.00001947  0.685130  36.7386  5.0
2.500000  1.16021330  0.00002055  0.11763632  0.00001798  0.695513  37.1268  5.0
2.600000  1.17163456  0.00001916  0.11079073  0.00001760  0.705236  37.4923  5.0
2.700000  1.18234517  0.00001946  0.10451747  0.00001611  0.714347  37.8350  5.0
2.800000  1.19257401  0.00002105  0.09878436  0.00001678  0.722976  38.1624  5.0
2.900000  1.20218612  0.00002025  0.09355481  0.00001347  0.731055  38.4700  5.0
3.000000  1.21124110  0.00002098  0.08864270  0.00001326  0.738665  38.7597  5.0
3.100000  1.21990165  0.00001970  0.08417930  0.00001255  0.745878  39.0369  5.0
3.200000  1.22812129  0.00002067  0.08005107  0.00001224  0.752704  39.2999  5.0
3.300000  1.23590462  0.00002292  0.07621537  0.00001147  0.759170  39.5489  5.0
3.400000  1.24334787  0.00002087  0.07265325  0.00001072  0.765307  39.7871  5.0
3.500000  1.25046582  0.00002212  0.06934204  0.00001103  0.771147  40.0149  5.0
3.600000  1.25725185  0.00002040  0.06626563  0.00001003  0.776702  40.2321  5.0
3.700000  1.26368302  0.00002180  0.06334427  0.00001012  0.781987  40.4379  5.0
3.800000  1.26988893  0.00002120  0.06066916  0.00000897  0.787027  40.6364  5.0
3.900000  1.27587392  0.00002228  0.05815741  0.00000941  0.791862  40.8280  5.0
4.000000  1.28153110  0.00002195  0.05576194  0.00000848  0.796454  41.0090  5.0
4.100000  1.28699704  0.00002110  0.05353653  0.00000829  0.800858  41.1839  5.0
4.200000  1.29228521  0.00002113  0.05143894  0.00000833  0.805077  41.3531  5.0
4.300000  1.29731724  0.00002033  0.04946131  0.00000785  0.809124  41.5142  5.0
4.400000  1.30219207  0.00001997  0.04761140  0.00000724  0.813002  41.6701  5.0
4.500000  1.30680045  0.00002090  0.04585350  0.00000733  0.816728  41.8176  5.0
4.600000  1.31138233  0.00002228  0.04420625  0.00000754  0.820319  41.9642  5.0
4.700000  1.31566223  0.00001922  0.04261734  0.00000667  0.823736  42.1012  5.0
4.800000  1.31987174  0.00002012  0.04113466  0.00000655  0.827058  42.2359  5.0
4.900000  1.32393359  0.00002174  0.03972799  0.00000620  0.830258  42.3659  5.0
5.000000  1.32782083  0.00001981  0.03839172  0.00000591  0.833334  42.4903  5.0
5.100000  1.33158025  0.00002142  0.03712740  0.00000607  0.836291  42.6106  5.0
5.200000  1.33522884  0.00002172  0.03590823  0.00000557  0.839161  42.7273  5.0
5.300000  1.33872899  0.00002043  0.03475672  0.00000512  0.841917  42.8393  5.0
5.400000  1.34219359  0.00002064  0.03365860  0.00000474  0.844592  42.9502  5.0
5.500000  1.34551223  0.00001956  0.03261684  0.00000516  0.847184  43.0564  5.0
5.600000  1.34875065  0.00002269  0.03162757  0.00000470  0.849685  43.1600  5.0
5.700000  1.35185913  0.00002157  0.03067328  0.00000496  0.852098  43.2595  5.0
5.800000  1.35481566  0.00002023  0.02976058  0.00000448  0.854427  43.3541  5.0
5.900000  1.35776606  0.00001997  0.02889426  0.00000443  0.856696  43.4485  5.0
6.000000  1.36061295  0.00002132  0.02806154  0.00000441  0.858892  43.5396  5.0
6.100000  1.36341412  0.00002015  0.02726754  0.00000445  0.861041  43.6293  5.0
6.200000  1.36611476  0.00002086  0.02650419  0.00000399  0.863105  43.7157  5.0
6.300000  1.36869006  0.00002132  0.02577288  0.00000398  0.865098  43.7981  5.0
6.400000  1.37125590  0.00002012  0.02507519  0.00000398  0.867059  43.8802  5.0
6.500000  1.37370466  0.00002129  0.02440628  0.00000399  0.868954  43.9585  5.0
6.600000  1.37607766  0.00002015  0.02375569  0.00000348  0.870800  44.0345  5.0
6.700000  1.37843769  0.00002257  0.02313940  0.00000378  0.872579  44.1100  5.0
6.800000  1.38077544  0.00002181  0.02254339  0.00000364  0.874325  44.1848  5.0
6.900000  1.38297365  0.00002057  0.02197547  0.00000349  0.876014  44.2552  5.0
7.000000  1.38513665  0.00002148  0.02142483  0.00000344  0.877670  44.3244  5.0
7.100000  1.38726316  0.00002067  0.02089352  0.00000332  0.879277  44.3924  5.0
7.200000  1.38933531  0.00002150  0.02038329  0.00000319  0.880834  44.4587  5.0
7.300000  1.39131693  0.00002031  0.01988880  0.00000308  0.882362  44.5221  5.0
7.400000  1.39333845  0.00002052  0.01941610  0.00000298  0.883848  44.5868  5.0
7.500000  1.39523272  0.00002338  0.01895902  0.00000275  0.885285  44.6474  5.0
7.600000  1.39713170  0.00002157  0.01851678  0.00000276  0.886708  44.7082  5.0
7.700000  1.39895842  0.00002179  0.01809051  0.00000273  0.888090  44.7667  5.0
7.800000  1.40069164  0.00002050  0.01767886  0.00000244  0.889426  44.8221  5.0
7.900000  1.40244323  0.00002316  0.01727719  0.00000245  0.890734  44.8782  5.0
8.000000  1.40415241  0.00002315  0.01689428  0.00000256  0.892030  44.9329  5.0
8.100000  1.40585517  0.00002264  0.01652297  0.00000273  0.893270  44.9874  5.0
8.200000  1.40750026  0.00002144  0.01616241  0.00000238  0.894506  45.0400  5.0
8.300000  1.40905057  0.00002243  0.01581607  0.00000241  0.895703  45.0896  5.0
8.400000  1.41064140  0.00002182  0.01547680  0.00000226  0.896872  45.1405  5.0
8.500000  1.41217971  0.00002243  0.01515262  0.00000241  0.898018  45.1898  5.0
8.600000  1.41369392  0.00002097  0.01483610  0.00000218  0.899141  45.2382  5.0
8.700000  1.41516178  0.00002362  0.01453056  0.00000213  0.900224  45.2852  5.0
8.800000  1.41660285  0.00002274  0.01423425  0.00000206  0.901305  45.3313  5.0
8.900000  1.41798874  0.00002249  0.01394708  0.00000220  0.902349  45.3756  5.0
9.000000  1.41937229  0.00002131  0.01366852  0.00000217  0.903360  45.4199  5.0
9.100000  1.42072669  0.00002208  0.01340291  0.00000196  0.904370  45.4633  5.0
9.200000  1.42207098  0.00002074  0.01313818  0.00000197  0.905358  45.5063  5.0
9.300000  1.42333996  0.00002089  0.01288203  0.00000192  0.906318  45.5469  5.0
9.400000  1.42464232  0.00002123  0.01263396  0.00000193  0.907266  45.5886  5.0
9.500000  1.42589820  0.00002236  0.01239283  0.00000186  0.908189  45.6287  5.0
9.600000  1.42712013  0.00002300  0.01215693  0.00000175  0.909105  45.6678  5.0
9.700000  1.42831919  0.00002347  0.01193242  0.00000207  0.909982  45.7062  5.0
9.800000  1.42950040  0.00001950  0.01171232  0.00000170  0.910859  45.7440  5.0
9.900000  1.43062889  0.00002212  0.01149600  0.00000180  0.911718  45.7801  5.0
10.000000  1.43182190  0.00002324  0.01128858  0.00000167  0.912563  45.8183  5.0
10.100000  1.43290522  0.00002232  0.01108790  0.00000156  0.913373  45.8530  5.0
10.200000  1.43399792  0.00002104  0.01088695  0.00000162  0.914184  45.8879  5.0
10.300000  1.43509570  0.00002212  0.01069616  0.00000160  0.914978  45.9231  5.0
10.400000  1.43614394  0.00002221  0.01050915  0.00000173  0.915760  45.9566  5.0
10.500000  1.43720038  0.00002195  0.01032617  0.00000150  0.916518  45.9904  5.0
10.600000  1.43821912  0.00002132  0.01014857  0.00000164  0.917273  46.0230  5.0
10.700000  1.43920601  0.00002113  0.00996944  0.00000162  0.918006  46.0546  5.0
10.800000  1.44019554  0.00002239  0.00980340  0.00000149  0.918733  46.0863  5.0
10.900000  1.44121173  0.00002069  0.00964121  0.00000150  0.919445  46.1188  5.0
11.000000  1.44216846  0.00002216  0.00947956  0.00000147  0.920146  46.1494  5.0
11.100000  1.44308356  0.00002319  0.00932181  0.00000129  0.920829  46.1787  5.0
11.200000  1.44400968  0.00002306  0.00917435  0.00000155  0.921502  46.2083  5.0
11.300000  1.44491272  0.00002308  0.00902104  0.00000133  0.922171  46.2372  5.0
11.400000  1.44582963  0.00002144  0.00887752  0.00000132  0.922823  46.2665  5.0
11.500000  1.44665404  0.00002325  0.00873299  0.00000128  0.923470  46.2929  5.0
11.600000  1.44757334  0.00002369  0.00859527  0.00000144  0.924096  46.3223  5.0
11.700000  1.44842730  0.00002156  0.00846208  0.00000131  0.924722  46.3497  5.0
11.800000  1.44924995  0.00002088  0.00832938  0.00000115  0.925324  46.3760  5.0
11.900000  1.45006082  0.00002022  0.00820166  0.00000126  0.925919  46.4019  5.0
12.000000  1.45086508  0.00002228  0.00807541  0.00000124  0.926515  46.4277  5.0
12.100000  1.45167159  0.00002079  0.00795118  0.00000131  0.927102  46.4535  5.0
12.200000  1.45246987  0.00002267  0.00783164  0.00000122  0.927678  46.4790  5.0
12.300000  1.45324457  0.00002201  0.00771359  0.00000120  0.928239  46.5038  5.0
12.400000  1.45402519  0.00002269  0.00759876  0.00000116  0.928799  46.5288  5.0
12.500000  1.45478171  0.00002265  0.00748877  0.00000107  0.929341  46.5530  5.0
12.600000  1.45553068  0.00002262  0.00737521  0.00000108  0.929876  46.5770  5.0
12.700000  1.45624908  0.00002079  0.00726844  0.00000105  0.930407  46.6000  5.0
12.800000  1.45698702  0.00002150  0.00716386  0.00000106  0.930921  46.6236  5.0
12.900000  1.45769018  0.00002107  0.00706347  0.00000101  0.931446  46.6461  5.0
13.000000  1.45837535  0.00002216  0.00696087  0.00000110  0.931946  46.6680  5.0
13.100000  1.45907156  0.00002408  0.00686335  0.00000103  0.932455  46.6903  5.0
13.200000  1.45977857  0.00002244  0.00676814  0.00000104  0.932947  46.7129  5.0
13.300000  1.46043985  0.00002242  0.00667215  0.00000106  0.933429  46.7341  5.0
13.400000  1.46108797  0.00002154  0.00657981  0.00000104  0.933903  46.7548  5.0
13.500000  1.46177031  0.00002426  0.00648841  0.00000098  0.934384  46.7766  5.0
13.600000  1.46236718  0.00002297  0.00639995  0.00000105  0.934847  46.7957  5.0
13.700000  1.46303714  0.00002165  0.00631092  0.00000100  0.935303  46.8172  5.0
13.800000  1.46364684  0.00002264  0.00622925  0.00000098  0.935756  46.8367  5.0
13.900000  1.46426354  0.00002502  0.00614430  0.00000091  0.936203  46.8564  5.0
14.000000  1.46488937  0.00002266  0.00606185  0.00000090  0.936641  46.8765  5.0
14.100000  1.46551619  0.00001974  0.00598317  0.00000087  0.937066  46.8965  5.0
14.200000  1.46608628  0.00002067  0.00590440  0.00000084  0.937505  46.9148  5.0
14.300000  1.46664304  0.00002243  0.00582663  0.00000094  0.937924  46.9326  5.0
14.400000  1.46725465  0.00002092  0.00575298  0.00000080  0.938332  46.9521  5.0
14.500000  1.46779512  0.00002165  0.00567713  0.00000092  0.938757  46.9694  5.0
14.600000  1.46841972  0.00002269  0.00560525  0.00000089  0.939158  46.9894  5.0
14.700000  1.46894945  0.00002330  0.00553453  0.00000080  0.939551  47.0064  5.0
14.800000  1.46952105  0.00002193  0.00546409  0.00000082  0.939952  47.0247  5.0
14.900000  1.47004631  0.00002303  0.00539536  0.00000083  0.940344  47.0415  5.0
15.000000  1.47057833  0.00002397  0.00532800  0.00000084  0.940728  47.0585  5.0
15.100000  1.47110250  0.00002179  0.00526137  0.00000082  0.941096  47.0753  5.0
15.200000  1.47159648  0.00002310  0.00519735  0.00000083  0.941474  47.0911  5.0
15.300000  1.47209112  0.00002216  0.00513262  0.00000079  0.941840  47.1069  5.0
15.400000  1.47262232  0.00002383  0.00506925  0.00000073  0.942209  47.1239  5.0
15.500000  1.47312065  0.00002192  0.00500967  0.00000073  0.942570  47.1399  5.0
15.600000  1.47363913  0.00002171  0.00494816  0.00000069  0.942924  47.1565  5.0
15.700000  1.47412464  0.00002177  0.00488945  0.00000079  0.943278  47.1720  5.0
15.800000  1.47463873  0.00002173  0.00483209  0.00000071  0.943631  47.1884  5.0
15.900000  1.47510835  0.00002146  0.00477424  0.00000074  0.943969  47.2035  5.0
16.000000  1.47557872  0.00002106  0.00471931  0.00000068  0.944306  47.2185  5.0
16.100000  1.47607489  0.00002462  0.00466443  0.00000072  0.944649  47.2344  5.0
16.200000  1.47650251  0.00002251  0.00461031  0.00000070  0.944977  47.2481  5.0
16.300000  1.47697820  0.00002358  0.00455612  0.00000071  0.945298  47.2633  5.0
16.400000  1.47745088  0.00002340  0.00450495  0.00000078  0.945624  47.2784  5.0
16.500000  1.47785648  0.00002247  0.00445405  0.00000067  0.945940  47.2914  5.0
16.600000  1.47830944  0.00002477  0.00440292  0.00000066  0.946263  47.3059  5.0
16.700000  1.47879279  0.00002286  0.00435348  0.00000066  0.946575  47.3214  5.0
16.800000  1.47917214  0.00002422  0.00430418  0.00000063  0.946876  47.3335  5.0
16.900000  1.47963665  0.00002510  0.00425699  0.00000065  0.947181  47.3484  5.0
17.000000  1.48007048  0.00002346  0.00420873  0.00000068  0.947489  47.3623  5.0
17.100000  1.48044042  0.00002076  0.00416302  0.00000064  0.947786  47.3741  5.0
17.200000  1.48083973  0.00002565  0.00411701  0.00000060  0.948084  47.3869  5.0
17.300000  1.48128716  0.00002454  0.00407210  0.00000066  0.948383  47.4012  5.0
17.400000  1.48166411  0.00002203  0.00402791  0.00000067  0.948661  47.4133  5.0
17.500000  1.48209222  0.00002341  0.00398496  0.00000063  0.948951  47.4270  5.0
17.600000  1.48244414  0.00002088  0.00394087  0.00000062  0.949224  47.4382  5.0
17.700000  1.48289057  0.00002251  0.00390031  0.00000058  0.949504  47.4525  5.0
17.800000  1.48328835  0.00002395  0.00385940  0.00000059  0.949785  47.4652  5.0
17.900000  1.48362022  0.00002236  0.00381812  0.00000054  0.950045  47.4758  5.0
18.000000  1.48402860  0.00002269  0.00377703  0.00000057  0.950325  47.4889  5.0
18.100000  1.48440426  0.00002257  0.00373855  0.00000061  0.950583  47.5009  5.0
18.200000  1.48477895  0.00002221  0.00369946  0.00000052  0.950853  47.5129  5.0
18.300000  1.48517491  0.00001986  0.00366162  0.00000054  0.951117  47.5256  5.0
18.400000  1.48548093  0.00001901  0.00362387  0.00000052  0.951374  47.5354  5.0
18.500000  1.48586223  0.00002081  0.00358623  0.00000057  0.951626  47.5476  5.0
18.600000  1.48626948  0.00002133  0.00355038  0.00000054  0.951884  47.5606  5.0
18.700000  1.48657525  0.00002427  0.00351393  0.00000054  0.952129  47.5704  5.0
18.800000  1.48691818  0.00002335  0.00347812  0.00000047  0.952371  47.5814  5.0
18.900000  1.48724103  0.00002314  0.00344405  0.00000046  0.952628  47.5917  5.0
19.000000  1.48760570  0.00002410  0.00340852  0.00000051  0.952866  47.6034  5.0
19.100000  1.48800958  0.00002190  0.00337540  0.00000050  0.953104  47.6163  5.0
19.200000  1.48831146  0.00002325  0.00334215  0.00000051  0.953345  47.6260  5.0
19.300000  1.48862022  0.00002336  0.00330949  0.00000050  0.953580  47.6358  5.0
19.400000  1.48895224  0.00002203  0.00327795  0.00000046  0.953808  47.6465  5.0
19.500000  1.48928134  0.00002207  0.00324517  0.00000050  0.954040  47.6570  5.0
19.600000  1.48962150  0.00002315  0.00321328  0.00000051  0.954271  47.6679  5.0
19.700000  1.48991642  0.00002208  0.00318274  0.00000051  0.954496  47.6773  5.0
19.800000  1.49024432  0.00002395  0.00315249  0.00000050  0.954728  47.6878  5.0
19.900000  1.49057047  0.00002392  0.00312323  0.00000051  0.954941  47.6983  5.0
20.000000  1.49081492  0.00002291  0.00309255  0.00000048  0.955162  47.7061  5.0
25.000000  1.50337609  0.00002090  0.00201825  0.00000029  0.963946  48.1080  5.0
40.000000  1.52253724  0.00002039  0.00081197  0.00000013  0.977292  48.7212  5.0
60.000000  1.53346765  0.00002599  0.00036696  0.00000005  0.984794  49.0710  5.0
80.000000  1.53902278  0.00002084  0.00020826  0.00000003  0.988571  49.2487  5.0
100.000000  1.54231139  0.00002388  0.00013395  0.00000002  0.990845  49.3540  5.0
200.000000  1.54905197  0.00002415  0.00003384  0.00000001  0.995410  49.5697  5.0
400.000000  1.55247314  0.00002414  0.00000850  0.00000000  0.997702  49.6791  5.0
