# N=8 M=8  Queen lattice gas, canonical ensemble M=N
# Merged from: precise 30 pts (T=0.050~10.000); dense 185 pts (T=1.100~20.000); high-T 7 pts (T=25.0~400.0)
# Total: 222 temperature points (T=0.050~400.0)
# nmeas=1e8 sweeps, therm=2e6, nbin=200
# T  E/M  err_E/M  Cv/M  err_Cv/M  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00000692  0.00000184  0.00122971  0.00032672  0.000001  0.0001  185.1
0.100000  0.00026803  0.00001752  0.02678453  0.00174444  0.000029  0.0021  336.3
0.125000  0.00208869  0.00004451  0.13395537  0.00281032  0.000234  0.0167  347.2
0.150000  0.00834843  0.00008684  0.37081240  0.00365418  0.000975  0.0668  362.6
0.175000  0.02136952  0.00012581  0.69736247  0.00363181  0.002729  0.1710  309.3
0.200000  0.04335480  0.00016448  1.06715325  0.00316800  0.006241  0.3468  244.1
0.225000  0.07439142  0.00017035  1.39574748  0.00201748  0.012349  0.5951  179.4
0.250000  0.11231257  0.00016898  1.61049790  0.00144069  0.021487  0.8985  123.1
0.275000  0.15351039  0.00016721  1.68722930  0.00130996  0.033577  1.2281  84.5
0.300000  0.19590361  0.00015596  1.66617279  0.00131292  0.048337  1.5672  57.3
0.325000  0.23662148  0.00012579  1.58583815  0.00122151  0.064904  1.8930  38.2
0.350000  0.27475390  0.00011491  1.48417747  0.00107080  0.082659  2.1980  27.1
0.375000  0.31067046  0.00009340  1.37601211  0.00092616  0.101267  2.4854  19.6
0.400000  0.34374646  0.00008946  1.27509618  0.00082275  0.120201  2.7500  14.9
0.425000  0.37446728  0.00007884  1.18228814  0.00059099  0.139222  2.9957  11.8
0.450000  0.40305709  0.00006661  1.09980675  0.00048463  0.158205  3.2245  9.8
0.475000  0.42960561  0.00006269  1.02612171  0.00042404  0.176902  3.4368  8.5
0.500000  0.45446177  0.00005691  0.96083462  0.00036512  0.195348  3.6357  7.6
0.550000  0.49955095  0.00005243  0.84789047  0.00026207  0.230790  3.9964  6.4
0.600000  0.53964244  0.00004869  0.75604065  0.00021347  0.264460  4.3171  5.8
0.700000  0.60773647  0.00004234  0.61504229  0.00014479  0.325631  4.8619  5.3
0.800000  0.66392196  0.00004198  0.51232998  0.00011075  0.379249  5.3114  5.1
0.900000  0.71110574  0.00003671  0.43430395  0.00008893  0.426083  5.6888  5.0
1.000000  0.75126695  0.00003522  0.37323700  0.00007576  0.466969  6.0101  5.0
1.100000  0.78605468  0.00003759  0.32451033  0.00005781  0.502945  6.2884  5.0
1.200000  0.81651262  0.00003467  0.28475229  0.00004835  0.534744  6.5321  5.0
1.300000  0.84328231  0.00003288  0.25183566  0.00004616  0.562989  6.7463  5.0
1.400000  0.86701188  0.00003592  0.22439444  0.00003664  0.588081  6.9361  5.0
1.500000  0.88828779  0.00003454  0.20123288  0.00003280  0.610624  7.1063  5.0
1.600000  0.90731569  0.00003222  0.18138863  0.00003038  0.630909  7.2585  5.0
1.700000  0.92464474  0.00003092  0.16443881  0.00002503  0.649285  7.3972  5.0
1.800000  0.94035155  0.00003447  0.14967379  0.00002200  0.666003  7.5228  5.0
1.900000  0.95465721  0.00003094  0.13679744  0.00002250  0.681225  7.6373  5.0
2.000000  0.96771277  0.00003070  0.12551956  0.00002054  0.695112  7.7417  5.0
2.100000  0.97977278  0.00003358  0.11563389  0.00001777  0.707931  7.8382  5.0
2.200000  0.99089651  0.00002983  0.10679013  0.00001664  0.719684  7.9272  5.0
2.300000  1.00123165  0.00003417  0.09897506  0.00001598  0.730596  8.0099  5.0
2.400000  1.01071496  0.00003344  0.09196193  0.00001459  0.740684  8.0857  5.0
2.500000  1.01959416  0.00003450  0.08568375  0.00001328  0.750030  8.1568  5.0
2.600000  1.02791993  0.00003275  0.07998950  0.00001309  0.758805  8.2234  5.0
2.700000  1.03563463  0.00003108  0.07484964  0.00001092  0.766949  8.2851  5.0
2.800000  1.04290352  0.00003223  0.07020004  0.00001074  0.774569  8.3432  5.0
2.900000  1.04963520  0.00003006  0.06597701  0.00000919  0.781694  8.3971  5.0
3.000000  1.05600410  0.00003057  0.06210028  0.00000987  0.788417  8.4480  5.0
3.100000  1.06210857  0.00003531  0.05856790  0.00000922  0.794769  8.4969  5.0
3.200000  1.06781183  0.00003128  0.05532804  0.00000770  0.800698  8.5425  5.0
3.300000  1.07321541  0.00003074  0.05235136  0.00000790  0.806355  8.5857  5.0
3.400000  1.07818626  0.00003120  0.04959280  0.00000760  0.811640  8.6255  5.0
3.500000  1.08306190  0.00003130  0.04705572  0.00000717  0.816679  8.6645  5.0
3.600000  1.08768576  0.00003284  0.04470709  0.00000714  0.821483  8.7015  5.0
3.700000  1.09202954  0.00003099  0.04253776  0.00000662  0.826011  8.7362  5.0
3.800000  1.09619509  0.00003321  0.04051308  0.00000617  0.830351  8.7696  5.0
3.900000  1.10013661  0.00003229  0.03861929  0.00000590  0.834449  8.8011  5.0
4.000000  1.10397544  0.00003273  0.03687915  0.00000512  0.838363  8.8318  5.0
4.100000  1.10750364  0.00003230  0.03523593  0.00000536  0.842076  8.8600  5.0
4.200000  1.11102768  0.00003066  0.03369649  0.00000507  0.845642  8.8882  5.0
4.300000  1.11425501  0.00003170  0.03226224  0.00000474  0.849073  8.9140  5.0
