# N=64 M=64  Queen lattice gas, canonical ensemble M=N
# Merged from: precise 30 pts (T=0.050~10.000); dense 185 pts (T=1.100~20.000); high-T 7 pts (T=25.0~400.0)
# Total: 222 temperature points (T=0.050~400.0)
# nmeas=1e8 sweeps, therm=2e6, nbin=200
# T  E/M  err_E/M  Cv/M  err_Cv/M  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00014274  0.00003445  0.02514462  0.00601692  0.000001  0.0091  14389.9
0.100000  0.00328567  0.00014647  0.31568705  0.01207042  0.000030  0.2103  12751.8
0.125000  0.01835187  0.00019651  0.90124075  0.00740908  0.000251  1.1745  7497.4
0.150000  0.04524540  0.00013092  1.22996943  0.00820205  0.001051  2.8957  2127.8
0.175000  0.07909302  0.00009498  1.43540448  0.00558472  0.002909  5.0620  639.4
0.200000  0.11673393  0.00007281  1.56216877  0.00372897  0.006235  7.4710  267.1
0.225000  0.15666753  0.00005676  1.61897190  0.00278832  0.011387  10.0267  135.1
0.250000  0.19720353  0.00004876  1.61302633  0.00196389  0.018475  12.6210  77.3
0.275000  0.23728350  0.00004200  1.57790998  0.00154403  0.027449  15.1861  48.6
0.300000  0.27586178  0.00003839  1.51868495  0.00126959  0.038047  17.6552  33.1
0.325000  0.31289052  0.00003194  1.44428598  0.00100766  0.050050  20.0250  23.7
0.350000  0.34801891  0.00002933  1.36581639  0.00080163  0.063124  22.2732  18.0
0.375000  0.38125083  0.00002751  1.29129870  0.00067653  0.077013  24.4001  14.3
0.400000  0.41258744  0.00002619  1.21681769  0.00055645  0.091439  26.4056  11.7
0.425000  0.44210721  0.00002386  1.14760225  0.00045008  0.106216  28.2949  10.0
0.450000  0.46998121  0.00002201  1.08288792  0.00045010  0.121168  30.0788  8.7
0.475000  0.49626198  0.00002053  1.02371130  0.00038652  0.136162  31.7608  7.8
0.500000  0.52123661  0.00001890  0.96944293  0.00031874  0.151144  33.3591  7.2
0.550000  0.56722923  0.00001985  0.87332388  0.00028136  0.180600  36.3027  6.3
0.600000  0.60878788  0.00001713  0.79214784  0.00020945  0.209107  38.9624  5.8
0.700000  0.68132462  0.00001713  0.66381119  0.00015307  0.262645  43.6048  5.3
0.800000  0.74261274  0.00001697  0.56699224  0.00011556  0.310947  47.5272  5.1
0.900000  0.79544635  0.00001491  0.49203315  0.00008792  0.354326  50.9086  5.0
1.000000  0.84151479  0.00001461  0.43182976  0.00008300  0.393105  53.8569  5.0
1.100000  0.88223096  0.00001445  0.38317021  0.00006733  0.427909  56.4628  5.0
1.200000  0.91844170  0.00001509  0.34268940  0.00006343  0.459164  58.7803  5.0
1.300000  0.95092653  0.00001374  0.30865821  0.00005274  0.487327  60.8593  5.0
1.400000  0.98034189  0.00001489  0.27982032  0.00004480  0.512823  62.7419  5.0
1.500000  1.00706116  0.00001435  0.25499515  0.00004072  0.535991  64.4519  5.0
1.600000  1.03145991  0.00001431  0.23356240  0.00003525  0.557093  66.0134  5.0
1.700000  1.05386187  0.00001302  0.21481743  0.00003454  0.576387  67.4472  5.0
1.800000  1.07451921  0.00001420  0.19831712  0.00003190  0.594123  68.7692  5.0
1.900000  1.09359783  0.00001466  0.18375754  0.00002727  0.610438  69.9903  5.0
2.000000  1.11130388  0.00001492  0.17078363  0.00002726  0.625517  71.1234  5.0
2.100000  1.12776750  0.00001391  0.15918206  0.00002409  0.639459  72.1771  5.0
2.200000  1.14316790  0.00001381  0.14878994  0.00002340  0.652439  73.1627  5.0
2.300000  1.15757314  0.00001480  0.13935655  0.00002125  0.664510  74.0847  5.0
2.400000  1.17108400  0.00001521  0.13088671  0.00002072  0.675778  74.9494  5.0
2.500000  1.18378136  0.00001516  0.12313650  0.00001804  0.686312  75.7620  5.0
2.600000  1.19575863  0.00001464  0.11614186  0.00001653  0.696188  76.5286  5.0
2.700000  1.20703664  0.00001604  0.10966702  0.00001640  0.705447  77.2503  5.0
2.800000  1.21770023  0.00001490  0.10380270  0.00001534  0.714194  77.9328  5.0
2.900000  1.22781014  0.00001540  0.09837265  0.00001536  0.722410  78.5798  5.0
3.000000  1.23739049  0.00001602  0.09337793  0.00001424  0.730173  79.1930  5.0
3.100000  1.24648645  0.00001472  0.08874101  0.00001332  0.737529  79.7751  5.0
3.200000  1.25517105  0.00001330  0.08448175  0.00001296  0.744483  80.3309  5.0
3.300000  1.26339829  0.00001527  0.08050095  0.00001123  0.751073  80.8575  5.0
3.400000  1.27126910  0.00001553  0.07680193  0.00001205  0.757335  81.3612  5.0
3.500000  1.27874062  0.00001577  0.07335852  0.00001054  0.763276  81.8394  5.0
3.600000  1.28593392  0.00001584  0.07014239  0.00001019  0.768951  82.2998  5.0
3.700000  1.29278753  0.00001379  0.06717573  0.00000967  0.774363  82.7384  5.0
3.800000  1.29937959  0.00001486  0.06435912  0.00000953  0.779528  83.1603  5.0
3.900000  1.30569114  0.00001509  0.06174022  0.00000950  0.784442  83.5642  5.0
4.000000  1.31174089  0.00001404  0.05924493  0.00000868  0.789154  83.9514  5.0
4.100000  1.31752321  0.00001569  0.05692032  0.00000911  0.793665  84.3215  5.0
4.200000  1.32310136  0.00001500  0.05476357  0.00000819  0.797984  84.6785  5.0
4.300000  1.32849077  0.00001609  0.05268751  0.00000824  0.802129  85.0234  5.0
4.400000  1.33367505  0.00001494  0.05073508  0.00000759  0.806109  85.3552  5.0
4.500000  1.33863786  0.00001496  0.04890044  0.00000707  0.809927  85.6728  5.0
4.600000  1.34344918  0.00001434  0.04715627  0.00000687  0.813587  85.9807  5.0
4.700000  1.34805917  0.00001463  0.04551548  0.00000702  0.817119  86.2758  5.0
4.800000  1.35253435  0.00001517  0.04395519  0.00000690  0.820519  86.5622  5.0
4.900000  1.35686937  0.00001550  0.04247416  0.00000637  0.823806  86.8396  5.0
5.000000  1.36105135  0.00001771  0.04106969  0.00000616  0.826973  87.1073  5.0
5.100000  1.36507003  0.00001559  0.03973033  0.00000567  0.830009  87.3645  5.0
5.200000  1.36897600  0.00001526  0.03846299  0.00000549  0.832951  87.6145  5.0
5.300000  1.37274840  0.00001494  0.03724861  0.00000580  0.835794  87.8559  5.0
5.400000  1.37643804  0.00001517  0.03608781  0.00000579  0.838538  88.0920  5.0
5.500000  1.37997659  0.00001569  0.03499076  0.00000485  0.841190  88.3185  5.0
5.600000  1.38343583  0.00001478  0.03392987  0.00000503  0.843759  88.5399  5.0
5.700000  1.38676768  0.00001536  0.03294168  0.00000491  0.846256  88.7531  5.0
5.800000  1.39001377  0.00001599  0.03198377  0.00000492  0.848656  88.9609  5.0
5.900000  1.39319668  0.00001526  0.03106281  0.00000450  0.850995  89.1646  5.0
6.000000  1.39622352  0.00001591  0.03017590  0.00000430  0.853265  89.3583  5.0
6.100000  1.39920228  0.00001500  0.02934856  0.00000483  0.855458  89.5489  5.0
6.200000  1.40215593  0.00001594  0.02854337  0.00000409  0.857593  89.7380  5.0
6.300000  1.40493631  0.00001529  0.02776529  0.00000394  0.859647  89.9159  5.0
6.400000  1.40764186  0.00001509  0.02701952  0.00000448  0.861666  90.0891  5.0
6.500000  1.41033938  0.00001473  0.02631145  0.00000404  0.863616  90.2617  5.0
6.600000  1.41291589  0.00001605  0.02561835  0.00000363  0.865525  90.4266  5.0
6.700000  1.41548108  0.00001435  0.02496479  0.00000352  0.867370  90.5908  5.0
6.800000  1.41790568  0.00001639  0.02433037  0.00000359  0.869158  90.7460  5.0
6.900000  1.42031646  0.00001574  0.02373192  0.00000367  0.870918  90.9003  5.0
7.000000  1.42270135  0.00001534  0.02314042  0.00000305  0.872619  91.0529  5.0
7.100000  1.42493795  0.00001741  0.02257187  0.00000357  0.874270  91.1960  5.0
7.200000  1.42718467  0.00001467  0.02203699  0.00000318  0.875891  91.3398  5.0
7.300000  1.42936172  0.00001701  0.02150510  0.00000300  0.877461  91.4792  5.0
7.400000  1.43148309  0.00001599  0.02100227  0.00000311  0.878995  91.6149  5.0
7.500000  1.43358998  0.00001538  0.02051218  0.00000287  0.880498  91.7498  5.0
7.600000  1.43557989  0.00001606  0.02003941  0.00000310  0.881959  91.8771  5.0
7.700000  1.43760622  0.00001477  0.01958429  0.00000287  0.883384  92.0068  5.0
7.800000  1.43951470  0.00001666  0.01914626  0.00000280  0.884778  92.1289  5.0
7.900000  1.44142084  0.00001527  0.01872670  0.00000296  0.886128  92.2509  5.0
8.000000  1.44324595  0.00001641  0.01831195  0.00000277  0.887455  92.3677  5.0
8.100000  1.44506978  0.00001593  0.01791697  0.00000269  0.888753  92.4845  5.0
8.200000  1.44683863  0.00001510  0.01752950  0.00000273  0.890017  92.5977  5.0
8.300000  1.44856507  0.00001783  0.01715825  0.00000261  0.891250  92.7082  5.0
8.400000  1.45027540  0.00001661  0.01679844  0.00000247  0.892463  92.8176  5.0
8.500000  1.45193255  0.00001528  0.01644471  0.00000244  0.893639  92.9237  5.0
8.600000  1.45355587  0.00001682  0.01611203  0.00000245  0.894802  93.0276  5.0
8.700000  1.45515196  0.00001637  0.01578346  0.00000232  0.895934  93.1297  5.0
8.800000  1.45672196  0.00001730  0.01546567  0.00000221  0.897051  93.2302  5.0
8.900000  1.45825124  0.00001623  0.01515583  0.00000233  0.898125  93.3281  5.0
9.000000  1.45975624  0.00001587  0.01485968  0.00000227  0.899193  93.4244  5.0
9.100000  1.46122029  0.00001513  0.01456983  0.00000203  0.900234  93.5181  5.0
9.200000  1.46265858  0.00001701  0.01428554  0.00000200  0.901253  93.6101  5.0
9.300000  1.46407319  0.00001674  0.01401054  0.00000208  0.902249  93.7007  5.0
9.400000  1.46546526  0.00001619  0.01374236  0.00000215  0.903231  93.7898  5.0
