# N=100 M=100  Queen lattice gas, canonical ensemble M=N
# Merged from: precise 30 pts (T=0.050~10.000); dense 185 pts (T=1.100~20.000); high-T 7 pts (T=25.0~400.0)
# Total: 222 temperature points (T=0.050~400.0)
# nmeas=1e8 sweeps, therm=2e6, nbin=200
# T  E/M  err_E/M  Cv/M  err_Cv/M  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00015239  0.00003454  0.02732705  0.00622313  0.000001  0.0152  16453.7
0.100000  0.00454110  0.00016861  0.40347136  0.01172229  0.000028  0.4541  15239.1
0.125000  0.02194458  0.00014691  0.89893535  0.01075335  0.000255  2.1945  7230.3
0.150000  0.04867991  0.00008921  1.23635052  0.00742623  0.001031  4.8680  1819.2
0.175000  0.08195120  0.00006917  1.42287171  0.00503805  0.002801  8.1951  593.1
0.200000  0.11945996  0.00005661  1.55470079  0.00353538  0.006016  11.9460  256.6
0.225000  0.15942564  0.00004928  1.61910354  0.00281226  0.011032  15.9426  134.3
0.250000  0.19989742  0.00003663  1.61456698  0.00194687  0.017939  19.9897  77.3
0.275000  0.23992733  0.00003608  1.57950750  0.00156147  0.026717  23.9927  48.7
0.300000  0.27867602  0.00003034  1.51738578  0.00133361  0.037145  27.8676  32.8
0.325000  0.31569562  0.00002678  1.44637082  0.00101115  0.048939  31.5696  23.9
0.350000  0.35087785  0.00002455  1.36818943  0.00079410  0.061819  35.0878  18.0
0.375000  0.38412383  0.00002204  1.29220256  0.00068341  0.075492  38.4124  14.4
0.400000  0.41541957  0.00001966  1.21878523  0.00053430  0.089713  41.5420  11.8
0.425000  0.44505660  0.00001811  1.14989130  0.00048039  0.104313  44.5057  10.0
0.450000  0.47299340  0.00001723  1.08498901  0.00043036  0.119110  47.2993  8.7
0.475000  0.49937295  0.00001885  1.02657428  0.00033007  0.133955  49.9373  7.8
0.500000  0.52435917  0.00001699  0.97164369  0.00031205  0.148772  52.4359  7.2
0.550000  0.57048493  0.00001576  0.87589983  0.00025391  0.177957  57.0485  6.3
