# L=32 N=32  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Tue Mar 24 20:48:25 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.055000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.060000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.065000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.070000  0.00001525  0.00000651  0.00311162  0.00132786  0.000000  0.0005  4543.3
0.075000  0.00005490  0.00001252  0.00974247  0.00221863  0.000001  0.0018  5031.6
0.080000  0.00012989  0.00002167  0.02021134  0.00335822  0.000002  0.0042  5934.5
0.085000  0.00023658  0.00003240  0.03249717  0.00441688  0.000004  0.0076  6499.4
0.090000  0.00057450  0.00005509  0.07073640  0.00670481  0.000010  0.0184  7397.9
0.095000  0.00101964  0.00006572  0.11222983  0.00701209  0.000018  0.0326  6477.9
0.100000  0.00176699  0.00008509  0.17345672  0.00802875  0.000031  0.0565  6734.4
0.102500  0.00221470  0.00008964  0.20477846  0.00777352  0.000039  0.0709  6704.2
0.105000  0.00282167  0.00010922  0.25039591  0.00909267  0.000051  0.0903  6385.2
0.107500  0.00325432  0.00010290  0.27510228  0.00813472  0.000060  0.1041  5772.7
0.110000  0.00410204  0.00013371  0.32653460  0.00951946  0.000076  0.1313  5774.6
0.112500  0.00483598  0.00012277  0.36984561  0.00847709  0.000091  0.1548  6085.3
0.115000  0.00582319  0.00013078  0.41871426  0.00823630  0.000111  0.1863  5666.6
0.117500  0.00732049  0.00015167  0.49736794  0.00857548  0.000143  0.2343  5603.4
0.120000  0.00873373  0.00016458  0.55886269  0.00835161  0.000174  0.2795  5264.9
0.122500  0.01007176  0.00017478  0.61556834  0.00865881  0.000207  0.3223  4925.8
0.125000  0.01171380  0.00017016  0.67646326  0.00716359  0.000248  0.3748  4863.4
0.127500  0.01299213  0.00018647  0.71886399  0.00764203  0.000282  0.4157  4494.3
0.130000  0.01517521  0.00018710  0.79646737  0.00700058  0.000341  0.4856  4376.7
0.132500  0.01744494  0.00018215  0.86473324  0.00637091  0.000405  0.5582  4051.2
0.135000  0.01976758  0.00021790  0.92958938  0.00656868  0.000477  0.6326  3979.0
0.137500  0.02209880  0.00019568  0.98244266  0.00633664  0.000551  0.7072  3520.6
0.140000  0.02400761  0.00019659  1.03222454  0.00536200  0.000619  0.7682  3381.1
