# L=16 N=16  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Tue Mar 24 20:43:32 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.055000  0.00000145  0.00000145  0.00047912  0.00047912  0.000000  0.0000  1160.0
0.060000  0.00000172  0.00000172  0.00047655  0.00047655  0.000000  0.0000  1375.0
0.065000  0.00000037  0.00000035  0.00008876  0.00008179  0.000000  0.0000  254.2
0.070000  0.00000772  0.00000314  0.00157544  0.00064063  0.000000  0.0001  1043.7
0.075000  0.00002416  0.00000842  0.00429345  0.00149571  0.000001  0.0004  2394.2
0.080000  0.00007761  0.00001319  0.01211092  0.00205625  0.000003  0.0012  1650.1
0.085000  0.00016012  0.00002054  0.02214262  0.00283008  0.000006  0.0026  1998.5
0.090000  0.00031551  0.00002959  0.03886308  0.00361841  0.000013  0.0050  2029.5
0.095000  0.00047802  0.00003425  0.05295826  0.00377126  0.000019  0.0076  1969.8
0.100000  0.00079700  0.00004416  0.07959230  0.00437059  0.000032  0.0128  1848.5
0.102500  0.00108818  0.00005320  0.10327864  0.00495206  0.000044  0.0174  1877.2
0.105000  0.00126874  0.00005102  0.11447119  0.00452358  0.000051  0.0203  1860.8
0.107500  0.00170970  0.00006422  0.14737399  0.00540179  0.000070  0.0274  2070.6
0.110000  0.00219241  0.00007315  0.17922454  0.00585275  0.000089  0.0351  1912.1
0.112500  0.00262902  0.00007681  0.20436541  0.00574196  0.000107  0.0421  1813.8
0.115000  0.00295897  0.00008264  0.22095117  0.00591176  0.000122  0.0473  1760.7
0.117500  0.00381024  0.00009682  0.27179251  0.00658921  0.000158  0.0610  2011.6
0.120000  0.00441837  0.00010394  0.30243215  0.00677177  0.000184  0.0707  1813.9
0.122500  0.00524211  0.00011236  0.34257339  0.00685795  0.000220  0.0839  1826.6
0.125000  0.00614538  0.00010959  0.38618191  0.00644558  0.000262  0.0983  1802.5
0.127500  0.00722181  0.00012661  0.43404586  0.00698444  0.000311  0.1155  1789.7
0.130000  0.00857806  0.00013880  0.49067174  0.00715968  0.000374  0.1372  1749.3
0.132500  0.00974555  0.00014433  0.53520421  0.00701012  0.000431  0.1559  1681.7
0.135000  0.01116515  0.00015122  0.58553107  0.00682654  0.000499  0.1786  1653.3
0.137500  0.01260002  0.00014954  0.63288427  0.00634920  0.000571  0.2016  1660.2
0.140000  0.01411116  0.00016343  0.68213277  0.00661432  0.000651  0.2258  1642.5
0.142500  0.01606412  0.00018361  0.74205999  0.00683695  0.000751  0.2570  1559.1
0.145000  0.01781469  0.00018034  0.79221283  0.00621270  0.000853  0.2850  1491.3
0.147500  0.02001112  0.00018868  0.85293362  0.00612282  0.000975  0.3202  1441.0
0.150000  0.02250992  0.00017830  0.91734770  0.00541557  0.001118  0.3602  1455.9
0.152500  0.02458504  0.00019428  0.96237807  0.00515657  0.001247  0.3934  1410.1
0.155000  0.02708221  0.00020967  1.01864938  0.00560023  0.001409  0.4333  1286.7
0.157500  0.02991214  0.00020602  1.07443909  0.00504944  0.001592  0.4786  1302.5
0.160000  0.03252730  0.00020387  1.12264521  0.00468145  0.001771  0.5204  1180.1
0.162500  0.03536053  0.00020247  1.16683495  0.00445395  0.001969  0.5658  1098.7
0.165000  0.03838853  0.00018794  1.21476963  0.00390037  0.002188  0.6142  1071.6
0.167500  0.04157980  0.00022519  1.25633337  0.00389827  0.002429  0.6653  1017.9
0.170000  0.04453170  0.00021973  1.30160963  0.00375660  0.002675  0.7125  974.6
0.172500  0.04756970  0.00019861  1.33738427  0.00345085  0.002933  0.7611  908.2
0.175000  0.05145125  0.00020221  1.37750989  0.00320083  0.003254  0.8232  852.8
0.177500  0.05466809  0.00019963  1.41378083  0.00332389  0.003549  0.8747  795.9
0.180000  0.05821809  0.00019793  1.44938768  0.00340848  0.003885  0.9315  749.9
0.182500  0.06184926  0.00020523  1.48118807  0.00332819  0.004241  0.9896  721.0
0.185000  0.06554100  0.00020537  1.49983749  0.00338464  0.004606  1.0487  654.6
0.187500  0.06915542  0.00020610  1.53827900  0.00347358  0.004998  1.1065  619.1
0.190000  0.07309641  0.00021137  1.54904574  0.00328734  0.005416  1.1695  592.6
0.192500  0.07727137  0.00022475  1.57480091  0.00352465  0.005880  1.2363  550.0
0.195000  0.08100886  0.00019957  1.59750754  0.00378727  0.006336  1.2961  496.0
0.197500  0.08516489  0.00018447  1.60952510  0.00340130  0.006832  1.3626  465.8
0.200000  0.08909112  0.00017656  1.61568035  0.00324083  0.007325  1.4255  414.6
0.202500  0.09349019  0.00018769  1.62912132  0.00369622  0.007892  1.4958  384.7
0.205000  0.09743084  0.00017814  1.64466142  0.00367749  0.008436  1.5589  366.0
0.207500  0.10129043  0.00015983  1.65401861  0.00347857  0.008990  1.6206  348.2
0.210000  0.10537416  0.00017196  1.65829536  0.00353833  0.009583  1.6860  321.0
0.212500  0.10963837  0.00018503  1.67452207  0.00406898  0.010229  1.7542  299.0
0.215000  0.11391592  0.00015857  1.66843281  0.00356596  0.010875  1.8227  276.6
0.217500  0.11800770  0.00016850  1.67353669  0.00356166  0.011537  1.8881  249.2
0.220000  0.12215390  0.00014589  1.67792740  0.00299407  0.012232  1.9545  237.1
0.222500  0.12641404  0.00015404  1.67657427  0.00304515  0.012957  2.0226  214.1
0.225000  0.13069891  0.00014874  1.67680840  0.00315531  0.013701  2.0912  200.7
0.227500  0.13494715  0.00014622  1.67160115  0.00300075  0.014464  2.1592  184.6
